zone,model,fold_id,train_start,train_end,test_start,test_end,mae,rmse,mape,directional_accuracy
DK2,xgboost,16.0,2022-02-01 00:00:00,2024-04-05 00:00:00,2024-04-05 01:00:00,2024-04-12 00:00:00,33.978587152390254,40.39062990861496,10455.19885598428,76.04790419161677
DK2,xgboost,17.0,2022-02-01 00:00:00,2024-04-12 00:00:00,2024-04-12 01:00:00,2024-04-19 00:00:00,32.851078831808906,40.28394443578429,2365.4978566182135,76.64670658682635
DK2,xgboost,18.0,2022-02-01 00:00:00,2024-04-19 00:00:00,2024-04-19 01:00:00,2024-04-26 00:00:00,12.51164076941354,17.644600824097413,19.95411108399128,77.84431137724552
DK2,xgboost,19.0,2022-02-01 00:00:00,2024-04-26 00:00:00,2024-04-26 01:00:00,2024-05-03 00:00:00,56.41407953716459,70.936058117935,9195.01947531886,68.26347305389223
DK2,xgboost,20.0,2022-02-01 00:00:00,2024-05-03 00:00:00,2024-05-03 01:00:00,2024-05-10 00:00:00,28.088869216555644,35.21908957810683,3879.0145452265265,76.04790419161677
DK2,xgboost,21.0,2022-02-01 00:00:00,2024-05-10 00:00:00,2024-05-10 01:00:00,2024-05-17 00:00:00,45.984733608790805,48.48137839261123,8042.405548470793,74.25149700598801
DK2,xgboost,22.0,2022-02-01 00:00:00,2024-05-17 00:00:00,2024-05-17 01:00:00,2024-05-24 00:00:00,32.627362811224806,36.96620864420189,8186.251408100684,76.64670658682635
DK2,xgboost,23.0,2022-02-01 00:00:00,2024-05-24 00:00:00,2024-05-24 01:00:00,2024-05-31 00:00:00,20.789129421597437,26.959842535646324,1409.421360264746,82.03592814371258
DK2,xgboost,24.0,2022-02-01 00:00:00,2024-05-31 00:00:00,2024-05-31 01:00:00,2024-06-01 00:00:00,29.484929898579917,34.77198854748328,436.8532731308816,78.26086956521739
DK2,xgboost,25.0,2022-02-01 00:00:00,2024-06-01 00:00:00,2024-09-01 00:00:00,2024-09-06 00:00:00,47.08906106365613,59.58528228810623,18066.578722558417,75.0
DK2,xgboost,26.0,2022-02-01 00:00:00,2024-09-06 00:00:00,2024-09-06 01:00:00,2024-09-13 00:00:00,34.348406620025635,44.196432874844405,6495.885069205711,76.64670658682635
DK2,xgboost,27.0,2022-02-01 00:00:00,2024-09-13 00:00:00,2024-09-13 01:00:00,2024-09-20 00:00:00,22.92394720985776,26.949692493116626,242.48928286526876,72.45508982035929
DK2,xgboost,28.0,2022-02-01 00:00:00,2024-09-20 00:00:00,2024-09-20 01:00:00,2024-09-27 00:00:00,35.4414498928615,44.99162340406719,4896.662441251642,76.04790419161677
DK2,xgboost,29.0,2022-02-01 00:00:00,2024-09-27 00:00:00,2024-09-27 01:00:00,2024-10-04 00:00:00,31.602773976553056,38.54389167482256,5390.9348391156445,74.25149700598801
DK2,xgboost,30.0,2022-02-01 00:00:00,2024-10-04 00:00:00,2024-10-04 01:00:00,2024-10-11 00:00:00,23.607762108757385,30.391793138622443,118.90504218189427,76.64670658682635
DK2,xgboost,31.0,2022-02-01 00:00:00,2024-10-11 00:00:00,2024-10-11 01:00:00,2024-10-18 00:00:00,41.5984772119068,49.051198287604905,10736.114974409253,66.46706586826348
DK2,xgboost,32.0,2022-02-01 00:00:00,2024-10-18 00:00:00,2024-10-18 01:00:00,2024-10-25 00:00:00,32.658365286872495,39.5327786125909,3094.9006680446505,74.25149700598801
DK2,xgboost,33.0,2022-02-01 00:00:00,2024-10-25 00:00:00,2024-10-25 01:00:00,2024-10-31 00:00:00,31.788964885075885,43.69562301212288,133.00497340483864,78.32167832167832
DK2,persistence,1.0,2022-02-01 00:00:00,2023-05-01 00:00:00,2023-08-01 00:00:00,2023-08-04 00:00:00,38.98315068493151,44.45501307694367,124.49544660323484,83.33333333333334
DK2,persistence,2.0,2022-02-01 00:00:00,2023-08-04 00:00:00,2023-08-04 01:00:00,2023-08-11 00:00:00,54.03208333333333,65.7413721253867,19590.05213727285,69.46107784431138
DK2,persistence,3.0,2022-02-01 00:00:00,2023-08-11 00:00:00,2023-08-11 01:00:00,2023-08-18 00:00:00,23.774047619047618,31.06042532594445,71.64685367815528,77.24550898203593
DK2,persistence,4.0,2022-02-01 00:00:00,2023-08-18 00:00:00,2023-08-18 01:00:00,2023-08-25 00:00:00,37.857142857142854,49.454973641254156,68.18424431628642,77.24550898203593
DK2,persistence,5.0,2022-02-01 00:00:00,2023-08-25 00:00:00,2023-08-25 01:00:00,2023-09-01 00:00:00,21.891250000000003,31.418650824675098,20.81796903165514,76.04790419161677
DK2,persistence,6.0,2022-02-01 00:00:00,2023-09-01 00:00:00,2023-09-01 01:00:00,2023-09-08 00:00:00,17.06095238095238,25.545312518477175,36.91341128943393,87.42514970059881
DK2,persistence,7.0,2022-02-01 00:00:00,2023-09-08 00:00:00,2023-09-08 01:00:00,2023-09-15 00:00:00,32.79077380952381,64.81916631694524,66.98551606946754,85.02994011976048
DK2,persistence,8.0,2022-02-01 00:00:00,2023-09-15 00:00:00,2023-09-15 01:00:00,2023-09-22 00:00:00,54.932440476190486,71.58606146334168,13655.477684132864,77.84431137724552
DK2,persistence,9.0,2022-02-01 00:00:00,2023-09-22 00:00:00,2023-09-22 01:00:00,2023-09-29 00:00:00,65.9179761904762,82.717677221982,21299.90718823779,79.04191616766467
DK2,persistence,10.0,2022-02-01 00:00:00,2023-09-29 00:00:00,2023-09-29 01:00:00,2023-10-06 00:00:00,58.44994047619048,79.50114211892988,25222.498348384055,77.24550898203593
DK2,persistence,11.0,2022-02-01 00:00:00,2023-10-06 00:00:00,2023-10-06 01:00:00,2023-10-13 00:00:00,73.12964285714285,86.67238783543026,24634.3358819733,72.45508982035929
DK2,persistence,12.0,2022-02-01 00:00:00,2023-10-13 00:00:00,2023-10-13 01:00:00,2023-10-20 00:00:00,75.60440476190476,94.7046376020379,11746.92054540394,69.46107784431138
DK2,persistence,13.0,2022-02-01 00:00:00,2023-10-20 00:00:00,2023-10-20 01:00:00,2023-10-27 00:00:00,41.27095238095238,53.44270858770611,64.36576317338718,63.47305389221557
DK2,persistence,14.0,2022-02-01 00:00:00,2023-10-27 00:00:00,2023-10-27 01:00:00,2023-11-01 00:00:00,49.342666666666666,58.12056590972482,228.4782687032446,75.63025210084034
DK2,persistence,15.0,2022-02-01 00:00:00,2023-11-01 00:00:00,2024-04-01 00:00:00,2024-04-05 00:00:00,40.01814432989691,46.23823519355419,312.2301545686257,71.875
