zone,threshold,total_return,sharpe_ratio,sortino_ratio,max_drawdown,trade_count,win_rate,profit_factor,avg_win,avg_loss,max_consecutive_losses
DK1,0.05,10458.51834694708,16.59164713445399,21.038087680869612,-266.20624999999995,649,0.7226502311248074,3.183374523734304,32.512983055891326,-26.61150392369976,14
DK2,0.05,67089.72067720622,14.251442692161028,19.54290466306088,-767.9362499999988,4751,0.6499684276994317,2.8844114462331056,33.25524630767309,-21.40858684358887,42
